,Title,Year,Age,IMDb,Netflix,Genres,Country,Language
2062,Sarah Cooper: Everything's Fine,2020,18,5.6,1.0,Comedy,United States,English
2063,League of Legends Origins,2019,,6.5,1.0,Documentary,United States,English
2068,Hate by Dani Rovira,2021,,6.7,1.0,Comedy,Spain,Spanish
2071,Guest House,2020,18,4.4,1.0,Comedy,United States,
2074,Tottaa Pataaka Item Maal,2018,,7.5,1.0,Drama,India,Hindi
2081,Tom Papa: You're Doing Great!,2020,,7.2,1.0,Comedy,United States,English
2088,M8 - When Death Rescues Life,2019,,7.0,1.0,Drama,Brazil,Portuguese
2090,Brian Regan: On the Rocks,2021,,6.9,1.0,Comedy,United States,English
2094,7 Yards: The Chris Norton Story,2021,,8.9,1.0,Documentary,United States,English
2095,Shonar Pahar,2018,,8.1,1.0,Drama,India,Bangla
2097,Masameer: The Movie,2020,,6.0,1.0,Animation,Saudi Arabia,Arabic
2110,Sam Jay: 3 in the Morning,2020,,6.5,1.0,Comedy,United States,English
2134,Miss Virginia,2019,-18,7.0,1.0,Drama,United States,English
2135,Kevin James: Never Don't Give Up,2018,-18,6.1,1.0,Comedy,United States,English
2175,Nathicharami,2018,,7.2,1.0,Drama,India,Kannada
2176,Michelle Buteau: Welcome to Buteaupia,2020,18,7.1,1.0,Comedy,United States,English
2196,Cycle,2018,,8.2,1.0,Comedy,India,Telugu
2203,The Tambour of Retribution,2021,,7.3,1.0,Drama,Saudi Arabia,Arabic
2212,Sitting in Limbo,2020,,7.5,1.0,Drama,United Kingdom,English
2221,Salam - The First ****** Nobel Laureate,2019,,7.9,1.0,Documentary,United States,English
2227,Poeslief: een ode aan de kat,2021,,5.1,1.0,Documentary,Netherlands,Dutch
2239,Kevin Hart's Guide to Black History,2019,-18,5.5,1.0,Comedy,United States,English
2241,The Stand at Paxton County,2020,18,6.4,1.0,Thriller,United States,English
2244,My Perfect Romance,2018,-18,4.7,1.0,Romance,Canada,English
2259,Born to Play,2020,,6.3,1.0,Documentary,United States,English
2262,Family Seductions,2021,,4.6,1.0,Thriller,Canada,English
2268,Milkwater,2020,,4.9,1.0,Drama,United States,English
2290,Hurricane Bianca: From Russia with Hate,2018,,4.8,1.0,Comedy,United States,English
2294,African America,2021,,,1.0,Drama,South Africa,English
2313,Nikki Glaser: Bangin',2019,,6.0,1.0,Comedy,United States,English
2328,Bankrolled,2021,,4.4,1.0,Comedy,Mexico,Spanish
2329,Adam Devine: Best Time of Our Lives,2019,-18,5.8,1.0,Comedy,United States,English
2332,Love or Money,2021,,7.0,1.0,Comedy,United States,English
2335,Todd Glass: Act Happy,2018,,5.0,1.0,Comedy,United States,English
2337,Making the Witcher,2020,,6.8,1.0,Documentary,United States,English
2341,Alt-Right: Age of Rage,2018,,5.9,1.0,Documentary,,English
2345,Care Of Kaadhal,2021,,7.8,1.0,Drama,India,Tamil
2351,World Famous Lover,2020,,5.0,1.0,Romance,India,Telugu
2358,Surviving Christmas with the Relatives,2018,,5.1,1.0,Comedy,United Kingdom,English
2360,ReMastered: Who Shot the Sheriff,2018,,6.9,1.0,Documentary,United States,English
2367,Christmas with a Prince,2018,-18,5.2,1.0,Romance,Canada,English
2373,Sam Smith: Love Goes - Live at Abbey Road Studios,2021,,6.9,1.0,Music,United Kingdom,English
2381,The F**k-It List,2020,18,5.1,1.0,Comedy,United States,English
2394,Tiffany Haddish: Black Mitzvah,2019,18,6.2,1.0,Comedy,United States,English
2409,Calum Von Moger: Unbroken,2019,,6.2,1.0,Documentary,United States,English
2413,Pretty Guardians Sailor Moon Eternal The MOVIE - Part 2,2021,,,1.0,,,
2415,HiGH&LOW THE WORST,2019,,6.8,1.0,Action,Japan,Japanese
2431,Quiet,2020,,6.4,1.0,Drama,Chile,Spanish
2442,A Truthful Mother,2019,,8.3,1.0,Animation,India,Sanskrit
2444,40 Sticks,2020,,6.8,1.0,Thriller,Kenya,Swahili
2464,Paris Is Us,2019,,4.6,1.0,Drama,France,French
2470,Bhai - Vyakti ki V-18i,2019,,8.1,1.0,Drama,India,Marathi
2472,What the F* Is Going On?,2019,,7.6,1.0,Comedy,,
2484,Xico's Journey,2020,,5.2,1.0,Animation,Mexico,Spanish
2491,Camarón: The Film,2018,,7.4,1.0,Documentary,Spain,Spanish
2492,Party Monster: Scratching the Surface,2018,,7.0,1.0,Comedy,,
2499,Evvarikee Cheppoddu,2019,,7.2,1.0,Drama,India,Telugu
2500,Rhys Nicholson: Live at the Athenaeum,2020,,7.6,1.0,Comedy,United Kingdom,English
2501,Simon Amstell: Set Free,2019,,6.4,1.0,Comedy,United Kingdom,English
2504,Christmas Break-In,2019,,4.4,1.0,Family,United States,English
2525,Vir Das: Losing It,2018,-18,7.1,1.0,Comedy,United States,English
2526,So Much Love to Give,2020,-18,5.2,1.0,Comedy,Argentina,Spanish
2546,Hikaru Utada Laughter in the Dark Tour 2018,2019,-18,8.3,1.0,Music,Japan,Japanese
2551,Unbridled,2018,-18,5.0,1.0,Thriller,Spain,Spanish
2554,Stars in the Sky: A Hunting Story,2018,,7.3,1.0,Documentary,United States,English
2574,Whindersson Nunes: Adult,2019,,6.9,1.0,Comedy,Brazil,Portuguese
2575,The Fisherman's Diary,2020,,6.5,1.0,Drama,Cameroon,English
2576,Best of Stand-up 2020,2020,,5.5,1.0,Comedy,,English
2579,Not a Game,2020,,5.6,1.0,Documentary,United Kingdom,English
2590,Komola Rocket,2018,,7.5,1.0,Drama,Bangladesh,Bangla
2591,Manusangada,2018,,8.0,1.0,Drama,India,Tamil
2607,The Influence,2019,18,4.5,1.0,Horror,Spain,Spanish
2612,The World We Make,2019,-18,5.3,1.0,Drama,United States,English
2629,Mo Gilligan: Momentum,2019,,6.3,1.0,Comedy,United Kingdom,English
2638,Fatal Affair,2020,-18,4.5,1.0,Thriller,United States,English
2646,Emicida: AmarElo – Live in São Paulo,2021,,6.6,1.0,Music,Brazil,Portuguese
2653,Seth Rogen's Hilarity for Charity,2018,18,5.0,1.0,Comedy,United States,English
2660,How High 2,2019,,3.1,1.0,Comedy,United States,English
2663,God C-18ing,2018,,7.6,1.0,Drama,Nigeria,English
2666,Good Sam,2019,-18,5.7,1.0,,United States,English
2667,#cats_the_mewvie,2020,-18,5.3,1.0,Documentary,Canada,English
2673,Léa & I,2019,,6.7,1.0,Documentary,,English
2677,Munafik 2,2018,,6.1,1.0,Horror,Malaysia,Malay
2678,Parchís: The Documentary,2019,,6.9,1.0,Documentary,Spain,Spanish
2688,Mike Epps: Only One Mike,2019,-18,4.8,1.0,Comedy,United States,English
2690,Kambili: The Whole 30 Yards,2021,,6.4,1.0,Romance,Nigeria,English
2691,D.L. Hughley: Contrarian,2018,,6.6,1.0,Comedy,United States,English
2703,Wheels of Fortune,2020,18,5.4,1.0,Comedy,United States,English
2706,ReMastered: Who Killed Jam Master Jay?,2018,,6.6,1.0,Documentary,,
2713,I Am Vengeance: Retaliation,2020,18,3.4,1.0,Action,United Kingdom,English
2724,Madam Chief Minister,2021,,4.7,1.0,Drama,India,Hindi
2734,Leyla Everlasting,2020,18,3.7,1.0,Comedy,Turkey,Turkish
2739,Hostage House,2021,,5.0,1.0,Thriller,United States,English
2740,Up Among the Stars,2018,,6.2,1.0,Drama,Spain,Spanish
2753,15-Aug,2019,,5.9,1.0,Drama,India,
2761,Dr Jason Leong: Hashtag Blessed,2020,,7.0,1.0,Comedy,,English
2767,Felix Lobrecht: Hype,2020,,6.0,1.0,Comedy,Germany,German
2773,Düğüm Salonu,2018,-18,5.4,1.0,Comedy,Turkey,Turkish
2783,Asees,2018,,7.4,1.0,Drama,India,Punjabi
2786,Upstarts,2019,,6.7,1.0,Drama,India,Hindi
